time,joint_2,joint_3,joint_4,joint_6
7.478,-1.5708000155056632,-1.570798409790466,-1.5711349148041778,-1.5704891149338474
7.48,-1.5708000150957742,-1.5707984142251417,-1.5711346837042814,-1.5704893294544229
7.482,-1.5708000146888348,-1.5707984186473978,-1.5711344527638473,-1.5704895438269724
7.484,-1.5708000142848286,-1.5707984230572694,-1.5711342219827653,-1.570489758051598
7.486,-1.5708000138837397,-1.5707984274547913,-1.5711339913609257,-1.5704899721284018
7.488,-1.5708000134855515,-1.5707984318399983,-1.5711337608982183,-1.5704901860574858
7.49,-1.5708000130902482,-1.5707984362129255,-1.5711335305945338,-1.570490399838952
7.492,-1.5708000126978134,-1.5707984405736073,-1.571133300449762,-1.570490613472902
7.494,-1.5708000123082315,-1.5707984449220782,-1.5711330704637938,-1.5704908269594378
7.496,-1.5708000119214864,-1.5707984492583729,-1.5711328406365193,-1.5704910402986612
7.498,-1.5708000115375624,-1.5707984535825257,-1.571132610967829,-1.5704912534906736
7.5,-1.5708000111564437,-1.5707984578945708,-1.5711323814576135,-1.570491466535577
7.502,-1.5708000107781148,-1.5707984621945423,-1.5711321521057635,-1.5704916794334725
7.5040000000000004,-1.57080001040256,-1.5707984664824746,-1.5711319229121699,-1.5704918921844617
7.506,-1.5708000100297637,-1.5707984707584013,-1.5711316938767235,-1.570492104788646
7.508,-1.5708000096597108,-1.5707984750223565,-1.571131464999315,-1.5704923172461265
7.51,-1.5708000092923857,-1.5707984792743739,-1.5711312362798358,-1.5704925295570047
7.5120000000000005,-1.5708000089277732,-1.5707984835144873,-1.5711310077181764,-1.5704927417213816
7.514,-1.5708000085658582,-1.5707984877427303,-1.5711307793142282,-1.5704929537393584
7.516,-1.5708000082066256,-1.5707984919591365,-1.5711305510678824,-1.570493165611036
7.518,-1.5708000078500601,-1.570798496163739,-1.57113032297903,-1.5704933773365153
7.5200000000000005,-1.570800007496147,-1.5707985003565712,-1.5711300950475628,-1.5704935889158973
7.522,-1.5708000071448713,-1.5707985045376665,-1.571129867273372,-1.5704938003492828
7.524,-1.5708000067962182,-1.5707985087070577,-1.571129639656349,-1.5704940116367725
7.526,-1.570800006450173,-1.5707985128647781,-1.5711294121963857,-1.5704942227784673
7.5280000000000005,-1.5708000061067209,-1.5707985170108605,-1.5711291848933735,-1.5704944337744675
7.53,-1.5708000057658473,-1.570798521145338,-1.571128957747204,-1.5704946446248738
7.532,-1.570800005427538,-1.5707985252682428,-1.5711287307577693,-1.5704948553297866
7.534,-1.570800005091778,-1.570798529379608,-1.571128503924961,-1.5704950658893062
7.5360000000000005,-1.5708000047585533,-1.570798533479466,-1.5711282772486712,-1.5704952763035331
7.538,-1.5708000044278496,-1.5707985375678495,-1.571128050728792,-1.5704954865725675
7.54,-1.5708000040996524,-1.5707985416447905,-1.5711278243652151,-1.5704956966965096
7.542,-1.5708000037739478,-1.5707985457103215,-1.5711275981578332,-1.5704959066754594
7.5440000000000005,-1.5708000034507215,-1.5707985497644747,-1.5711273721065382,-1.570496116509517
7.546,-1.5708000031299596,-1.5707985538072822,-1.5711271462112226,-1.5704963261987825
7.548,-1.570800002811648,-1.5707985578387758,-1.5711269204717788,-1.5704965357433558
7.55,-1.570800002495773,-1.5707985618589875,-1.571126694888099,-1.5704967451433367
7.5520000000000005,-1.5708000021823205,-1.5707985658679493,-1.5711264694600762,-1.570496954398825
7.554,-1.570800001871277,-1.5707985698656928,-1.5711262441876026,-1.5704971635099203
7.556,-1.570800001562629,-1.5707985738522496,-1.571126019070571,-1.5704973724767222
7.558,-1.570800001256362,-1.5707985778276514,-1.571125794108874,-1.5704975812993305
7.5600000000000005,-1.5708000009524634,-1.5707985817919294,-1.5711255693024049,-1.5704977899778445
7.562,-1.5708000006509193,-1.5707985857451152,-1.5711253446510562,-1.5704979985123637
7.564,-1.5708000003517164,-1.57079858968724,-1.5711251201547212,-1.5704982069029874
7.566,-1.5708000000548412,-1.570798593618335,-1.5711248958132926,-1.570498415149815
7.5680000000000005,-1.5707999997602806,-1.5707985975384315,-1.5711246716266638,-1.5704986232529454
7.57,-1.5707999994680213,-1.5707986014475603,-1.571124447594728,-1.5704988312124784
7.572,-1.5707999991780501,-1.5707986053457523,-1.5711242237173781,-1.5704990390285125
