time,joint_2
0.6960000000000001,-0.14984245972428079
0.6980000000000001,-0.14904061303890526
0.7000000000000001,-0.14824774546725072
0.7020000000000001,-0.14746375680878707
0.704,-0.14668854794797223
0.706,-0.14592202084745667
0.708,-0.14516407854049376
0.71,-0.14441462512270956
0.712,-0.14367356574335965
0.714,-0.14294080659617925
0.716,-0.14221625490991438
0.718,-0.141499818938608
0.72,-0.14079140795170145
0.722,-0.14009093222400185
0.724,-0.1393983030255575
0.726,-0.13871343261147567
0.728,-0.13803623421171163
0.73,-0.13736662202085254
0.732,-0.1367045111879159
0.734,-0.13604981780617847
0.736,-0.1354024589030488
0.738,-0.1347623524299946
0.74,-0.13412941725253322
0.742,-0.13350357314029285
0.744,-0.1328847407571498
0.746,-0.13227284165144687
0.748,-0.1316677982462963
0.75,-0.13106953382996997
0.752,-0.13047797254637952
0.754,-0.12989303938564759
0.756,-0.12931466017477167
0.758,-0.12874276156838127
0.76,-0.12817727103958898
0.762,-0.12761811687093563
0.764,-0.12706522814542967
0.766,-0.12651853473768046
0.768,-0.12597796730512548
0.77,-0.1254434572793507
0.772,-0.12491493685750399
0.774,-0.12439233899380071
0.776,-0.12387559739112095
0.778,-0.12336464649269768
0.78,-0.12285942147389527
0.782,-0.12235985823407723
0.784,-0.1218658933885628
0.786,-0.1213774642606712
0.788,-0.12089450887385304
0.79,-0.1204169659439078
0.792,-0.11994477487128663
0.794,-0.11947787573347965
0.796,-0.11901620927748681
0.798,-0.11855971691237158
0.8,-0.1181083407018964
0.802,-0.11766202335723927
0.804,-0.11722070822979054
0.806,-0.11678433930402896
0.808,-0.11635286119047626
0.81,-0.11592621911872951
0.812,-0.1155043589305701
0.8140000000000001,-0.11508722707314893
0.8160000000000001,-0.11467477059224675
0.8180000000000001,-0.11426693712560879
0.8200000000000001,-0.1138636748963531
0.8220000000000001,-0.11346493270645168
0.8240000000000001,-0.11307065993028349
0.8260000000000001,-0.11268080650825887
0.8280000000000001,-0.11229532294051427
0.8300000000000001,-0.11191416028067673
0.8320000000000001,-0.11153727012969733
0.834,-0.11116460462975276
0.836,-0.1107961164582144
0.838,-0.11043175882168403
0.84,-0.11007148545009564
0.842,-0.10971525059088238
0.844,-0.10936300900320821
0.846,-0.10901471595226322
0.848,-0.10867032720362234
0.85,-0.10832979901766625
0.852,-0.10799308814406433
0.854,-0.10766015181631855
0.856,-0.10733094774636785
0.858,-0.10700543411925234
0.86,-0.10668356958783656
0.862,-0.1063653132675913
0.864,-0.1060506247314332
0.866,-0.10573946400462161
0.868,-0.10543179155971197
0.87,-0.1051275683115652
0.872,-0.10482675561241245
0.874,-0.10452931524697458
0.876,-0.10423520942763574
0.878,-0.1039444007896706
0.88,-0.10365685238652443
0.882,-0.10337252768514567
0.884,-0.10309139056137019
0.886,-0.10281340529535694
0.888,-0.1025396500451137
0.89,-0.1022699513213911
0.892,-0.10200430458545484
0.894,-0.10174274241345688
0.896,-0.10148530516185571
0.898,-0.10123203441369495
0.9,-0.10098297150178619
0.902,-0.10073815716859337
0.904,-0.10049763148264905
0.906,-0.10026143381367036
0.908,-0.10002960282145208
0.91,-0.09980217644816564
0.912,-0.09957919191160734
0.914,-0.09936068569879118
0.916,-0.09914669355972973
0.918,-0.09893725050136044
0.92,-0.09873239078160492
0.922,-0.098532147903558
0.924,-0.098336554609806
0.926,-0.09814564287687448
0.928,-0.09795944390980625
0.93,-0.09777798813687046
0.932,-0.09760130520440348
0.934,-0.09742942397178264
0.936,-0.09726237250653359
0.9380000000000001,-0.09710017807957212
0.9400000000000001,-0.09694286716058137
0.9420000000000001,-0.09679046541352518
0.9440000000000001,-0.09664299769229855
0.9460000000000001,-0.09650048803651579
0.9480000000000001,-0.09636295966743731
0.9500000000000001,-0.09623043498403581
0.9520000000000001,-0.09610293555920245
0.9540000000000001,-0.09598048213609389
0.9560000000000001,-0.09586309462462084
0.9580000000000001,-0.09575079209807866
0.96,-0.0956435927899209
0.962,-0.09554151409067611
0.964,-0.09544457254500871
0.966,-0.09535278384892436
0.968,-0.0952661628471205
0.97,-0.0951847235304824
0.972,-0.09510847903372532
0.974,-0.09503744163318312
0.976,-0.09497162274474391
0.978,-0.09491103292193298
0.98,-0.09485568185414339
0.982,-0.0948055783650147
0.984,-0.09476073041095992
0.986,-0.0947211450798412
0.988,-0.09468682858979431
0.99,-0.09465778628820229
0.992,-0.09463402265081831
0.994,-0.09461554128103812
0.996,-0.0946023449093219
0.998,-0.094594435392766
1.0,-0.09459181371482436
1.002,-0.09459447998517975
1.004,-0.0946024334397649
1.006,-0.09461567244093343
1.008,-0.09463419447778057
1.01,-0.09465799616661365
1.012,-0.09468707325157215
1.014,-0.09472142060539734
1.016,-0.09476103223035118
1.018,-0.09480590125928438
1.02,-0.09485601995685354
1.022,-0.0949113797208868
1.024,-0.09497197108389807
1.026,-0.09503778371474932
1.028,-0.09510880642046067
1.03,-0.09518502714816797
1.032,-0.09526643298722741
1.034,-0.09535301017146673
1.036,-0.09544474408158272
1.038,-0.09554161924768437
1.04,-0.09564361935198122
1.042,-0.09575072723161657
1.044,-0.09586292488164462
1.046,-0.09598019345815133
1.048,-0.09610251328151817
1.05,-0.09622986383982816
1.052,-0.09636222379241362
1.054,-0.0964995709735448
1.056,-0.09664188239625882
1.058,-0.09678913425632805
1.06,-0.09694130193636724
1.062,-0.0970983600100785
1.064,-0.09726028224663352
1.066,-0.09742704161519189
1.068,-0.09759861028955485
1.07,-0.09777495965295357
1.072,-0.09795606030297084
1.074,-0.09814188205659546
1.076,-0.09833239395540827
1.078,-0.09852756427089869
1.08,-0.09872736050991095
1.082,-0.09893174942021883
1.084,-0.09914069699622789
1.086,-0.09935416848480408
1.088,-0.09957212839122762
1.09,-0.09979454048527099
1.092,-0.10002136780739997
1.094,-0.10025257267509628
1.096,-0.10048811668930105
1.098,-0.10072796074097737
1.1,-0.10097206501779116
1.102,-0.10122038901090874
1.104,-0.10147289152191001
1.106,-0.1017295306698158
1.108,-0.10199026389822817
1.11,-0.10225504798258228
1.112,-0.10252383903750838
1.114,-0.10279659252430262
1.116,-0.1030732632585053
1.118,-0.10335380541758503
1.12,-0.10363817254872741
1.122,-0.10392631757672686
1.124,-0.10421819281197994
1.1260000000000001,-0.10451374995857882
1.1280000000000001,-0.1048129401225033
1.1300000000000001,-0.10511571381991001
1.1320000000000001,-0.10542202098551696
1.1340000000000001,-0.1057318109810822
1.1360000000000001,-0.10604503260397477
1.1380000000000001,-0.10636163409583659
1.1400000000000001,-0.10668156315133341
1.1420000000000001,-0.10700476692699352
1.1440000000000001,-0.10733119205013229
1.1460000000000001,-0.10766078462786113
1.1480000000000001,-0.10799349025617912
1.1500000000000001,-0.10832925402914562
1.1520000000000001,-0.10866802054813228
1.154,-0.10900973393115268
1.156,-0.10935433782226794
1.158,-0.10970177540106656
1.16,-0.11005198939221675
1.162,-0.11040492207508971
1.164,-0.11076051529345184
1.166,-0.11111871046522424
1.168,-0.11147944859230798
1.17,-0.11184267027047287
1.172,-0.11220831569930854
1.174,-0.11257632469223557
1.176,-0.11294663668657513
1.178,-0.1133191907536754
1.18,-0.11369392560909267
1.182,-0.11407077962282561
1.184,-0.11444969082960081
1.186,-0.1148305969392077
1.188,-0.11521343534688111
1.19,-0.11559814314372956
1.192,-0.11598465712720764
1.194,-0.11637291381163037
1.196,-0.11676284943872794
1.198,-0.1171543999882389
1.2,-0.11754750118853984
1.202,-0.11794208852731002
1.204,-0.1183380972622288
1.206,-0.11873546243170413
1.208,-0.11913411886563033
1.21,-0.11953400119617322
1.212,-0.11993504386858073
1.214,-0.12033718115201728
1.216,-0.12074034715041987
1.218,-0.12114447581337427
1.22,-0.12154950094700927
1.222,-0.12195535622490718
1.224,-0.1223619751990289
1.226,-0.1227692913106515
1.228,-0.1231772379013165
1.23,-0.12358574822378729
1.232,-0.12399475545301339
1.234,-0.12440419269710015
1.236,-0.12481399300828182
1.238,-0.12522408939389623
1.24,-0.1256344148273593
1.242,-0.12604490225913748
1.244,-0.1264554846277164
1.246,-0.12686609487056397
1.248,-0.1272766659350858
1.25,-0.12768713078957178
1.252,-0.12809742243413136
1.254,-0.12850747391161613
1.256,-0.1289172183185279
1.258,-0.12932658881591044
1.26,-0.12973551864022312
1.262,-0.13014394111419475
1.264,-0.13055178965765585
1.266,-0.1309589977983476
1.268,-0.13136549918270582
1.27,-0.1317712275866181
1.272,-0.13217611692615266
1.274,-0.13258010126825684
1.276,-0.13298311484142386
1.278,-0.13338509204632615
1.28,-0.13378596746641327
1.282,-0.13418567587847324
1.284,-0.1345841522631551
1.286,-0.13498133181545152
1.288,-0.1353771499551396
1.29,-0.13577154233717828
1.292,-0.13616444486206064
1.294,-0.13655579368611978
1.296,-0.13694552523178646
1.298,-0.13733357619779699
1.3,-0.13771988356934975
1.302,-0.13810438462820898
1.304,-0.13848701696275406
1.306,-0.13886771847797297
1.308,-0.13924642740539828
1.31,-0.13962308231298418
1.312,-0.13999762211492314
1.314,-0.14036998608140072
1.316,-0.140740113848287
1.318,-0.14110794542676316
1.32,-0.14147342121288198
1.322,-0.14183648199706061
1.324,-0.1421970689735043
1.326,-0.1425551237495597
1.328,-0.14291058835499645
1.33,-0.14326340525121545
1.332,-0.14361351734038263
1.334,-0.14396086797448707
1.336,-0.1443054009643216
1.338,-0.1446470605883853
1.34,-0.144985791601706
1.342,-0.14532153924458166
